,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
0,BUF @ CHI,Josh Allen,8500,,,,,,,,,,Buf,266,2,1,47,0,0,0,0,23.0,369.5652173913044
1,SEA @ KC,Patrick Mahomes,8400,,,,,,,,,,KC,301,2,1,24,0,0,0,0,24.0,350.0
2,PHI @ DAL,Jalen Hurts,8300,,,,,,,,,,Phi,--,--,--,--,--,--,--,--,0.0,
3,BUF @ CHI,Justin Fields,7500,,,,,,,,,,Chi,151,1,1,81,1,0,0,0,19.5,384.61538461538464
4,ATL @ BAL,Lamar Jackson,7200,,,,,,,,,,Bal,215,1,1,68,0,0,0,0,20.5,351.219512195122
5,LAC @ IND,Justin Herbert,7100,,,,,,,,,,LAC,297,2,1,14,0,0,0,0,18.1,392.2651933701657
6,CIN @ NE,Joe Burrow,7000,,,,,,,,,,Cin,267,2,1,14,0,0,0,0,18.6,376.34408602150535
7,GB @ MIA,Tua Tagovailoa,7000,,,,,,,,,,Mia,285,2,1,8,0,0,0,0,19.2,364.58333333333337
8,NYG @ MIN,Kirk Cousins,6300,,,,,,,,,,Min,274,2,1,8,0,0,0,0,18.0,350.0
9,TB @ ARI,Tom Brady,6100,,,,,,,,,,TB,281,2,1,2,0,0,0,0,17.2,354.6511627906977
10,PHI @ DAL,Dak Prescott,6100,,,,,,,,,,Dal,210,2,1,15,0,0,0,0,15.6,391.02564102564105
11,JAC @ NYJ,Trevor Lawrence,6000,,,,,,,,,,Jac,237,1,1,16,0,0,0,0,16.2,370.3703703703704
12,NO @ CLE,Deshaun Watson,6000,,,,,,,,,,Cle,198,1,1,34,0,0,0,0,14.8,405.40540540540536
13,GB @ MIA,Aaron Rodgers,5900,,,,,,,,,,GB,231,2,1,6,0,0,0,0,16.4,359.75609756097566
14,SEA @ KC,Geno Smith,5800,,,,,,,,,,Sea,273,2,1,18,0,0,0,0,19.5,297.43589743589746
15,NYG @ MIN,Daniel Jones,5600,,,,,,,,,,NYG,250,1,1,34,0,0,0,0,17.7,316.38418079096044
16,WAS @ SF,Brock Purdy,5500,,,,,,,,,,SF,207,1,1,9,0,0,0,0,14.4,381.94444444444446
17,DEN @ LAR,Russell Wilson,5500,,,,,,,,,,Den,239,1,1,18,0,0,0,0,14.3,384.6153846153846
18,LV @ PIT,Derek Carr,5500,,,,,,,,,,LV,237,2,1,6,0,0,0,0,15.2,361.8421052631579
19,DET @ CAR,Jared Goff,5400,,,,,,,,,,Det,251,2,1,5,0,0,0,0,15.5,348.38709677419354
20,JAC @ NYJ,Mike White,5400,,,,,,,,,,,,,,,,,,,,
21,DEN @ LAR,Baker Mayfield,5300,,,,,,,,,,LAR,195,1,1,9,0,0,0,0,9.8,540.8163265306122
22,ATL @ BAL,Tyler Huntley,5300,,,,,,,,,,Bal,--,--,--,--,--,--,--,--,0.0,
23,JAC @ NYJ,Zach Wilson,5200,,,,,,,,,,NYJ,257,1,1,16,0,0,0,0,15.7,331.21019108280257
24,TB @ ARI,Colt McCoy,5200,,,,,,,,,,Ari,246,1,1,11,0,0,0,0,13.7,379.56204379562047
25,HOU @ TEN,Ryan Tannehill,5200,,,,,,,,,,Ten,235,1,1,13,0,0,0,0,14.6,356.16438356164383
26,WAS @ SF,Taylor Heinicke,5200,,,,,,,,,,Was,217,1,1,13,0,0,0,0,12.1,429.7520661157025
27,WAS @ SF,Carson Wentz,5200,,,,,,,,,,Was,--,--,--,--,--,--,--,--,0.0,
28,GB @ MIA,Jordan Love,5200,,,,,,,,,,GB,--,--,--,--,--,--,--,--,0.0,
29,HOU @ TEN,Davis Mills,5100,,,,,,,,,,Hou,191,1,1,5,0,0,0,0,10.3,495.1456310679611
30,LAC @ IND,Matt Ryan,5100,,,,,,,,,,Ind,240,1,1,8,0,0,0,0,13.0,392.3076923076923
31,NO @ CLE,Andy Dalton,5100,,,,,,,,,,NO,196,1,1,10,0,0,0,0,12.3,414.6341463414634
32,DET @ CAR,Sam Darnold,5100,,,,,,,,,,Car,201,1,1,11,0,0,0,0,13.3,383.45864661654133
33,ATL @ BAL,Desmond Ridder,5000,,,,,,,,,,Atl,170,1,1,19,0,0,0,0,11.1,450.4504504504505
34,SEA @ KC,Chad Henne,5000,,,,,,,,,,,,,,,,,,,,
35,NYG @ MIN,Tyrod Taylor,5000,,,,,,,,,,NYG,--,--,--,--,--,--,--,--,0.0,
36,HOU @ TEN,Jeff Driskel,5000,,,,,,,,,,Hou,44,0,0,15,0,0,0,0,4.1,1219.5121951219514
37,NO @ CLE,Jacoby Brissett,5000,,,,,,,,,,Cle,--,--,--,--,--,--,--,--,0.0,
38,NO @ CLE,Jameis Winston,5000,,,,,,,,,,NO,--,--,--,--,--,--,--,--,0.0,
39,LV @ PIT,Mitch Trubisky,5000,,,,,,,,,,Pit,--,--,--,--,--,--,--,--,0.0,
40,HOU @ TEN,Kyle Allen,5000,,,,,,,,,,,,,,,,,,,,
41,DEN @ LAR,Brett Rypien,5000,,,,,,,,,,,,,,,,,,,,
42,ATL @ BAL,Anthony Brown,5000,,,,,,,,,,,,,,,,,,,,
43,CIN @ NE,Mac Jones,5000,,,,,,,,,,NE,252,1,1,9,0,0,0,0,13.0,384.61538461538464
44,WAS @ SF,Sam Howell,4900,,,,,,,,,,,,,,,,,,,,
45,JAC @ NYJ,Joe Flacco,4900,,,,,,,,,,NYJ,--,--,--,--,--,--,--,--,0.0,
46,BUF @ CHI,Nathan Peterman,4900,,,,,,,,,,,,,,,,,,,,
47,DET @ CAR,Nate Sudfeld,4900,,,,,,,,,,,,,,,,,,,,
48,NYG @ MIN,Nick Mullens,4900,,,,,,,,,,,,,,,,,,,,
49,DET @ CAR,PJ Walker,4900,,,,,,,,,,,,,,,,,,,,
50,SEA @ KC,Drew Lock,4900,,,,,,,,,,Sea,--,--,--,--,--,--,--,--,0.0,
51,HOU @ TEN,Malik Willis,4900,,,,,,,,,,Ten,--,--,--,--,--,--,--,--,0.0,
52,LV @ PIT,Kenny Pickett,4900,,,,,,,,,,Pit,228,1,1,22,0,0,0,0,15.1,324.50331125827813
53,CIN @ NE,Bailey Zappe,4800,,,,,,,,,,,,,,,,,,,,
54,WAS @ SF,Josh Johnson,4800,,,,,,,,,,,,,,,,,,,,
55,LAC @ IND,Chase Daniel,4800,,,,,,,,,,,,,,,,,,,,
56,BUF @ CHI,Case Keenum,4800,,,,,,,,,,,,,,,,,,,,
57,NO @ CLE,Taysom Hill,4800,,,,,,,,,,,,,,,,,,,,
58,GB @ MIA,Teddy Bridgewater,4800,,,,,,,,,,Mia,--,--,--,--,--,--,--,--,0.0,
59,PHI @ DAL,Cooper Rush,4800,,,,,,,,,,,,,,,,,,,,
60,ATL @ BAL,Logan Woodside,4800,,,,,,,,,,,,,,,,,,,,
61,LV @ PIT,Mason Rudolph,4800,,,,,,,,,,,,,,,,,,,,
