,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
0,WAS @ SF,Christian McCaffrey,8800,,,,,,,,,,SF,0,0,0,73,1,5,42,0,21.6,407.4074074074074
1,HOU @ TEN,Derrick Henry,8600,,,,,,,,,,Ten,0,0,0,112,1,3,28,0,21.6,398.1481481481481
2,LAC @ IND,Austin Ekeler,8300,,,,,,,,,,LAC,0,0,0,51,0,5,40,0,18.0,461.1111111111111
3,LV @ PIT,Josh Jacobs,8000,,,,,,,,,,LV,0,0,0,109,1,3,20,0,19.5,410.2564102564103
4,NYG @ MIN,Saquon Barkley,7900,,,,,,,,,,NYG,0,0,0,63,1,4,33,0,18.0,438.8888888888889
5,NO @ CLE,Nick Chubb,7700,,,,,,,,,,Cle,0,0,0,99,0,2,14,0,15.9,484.2767295597484
6,GB @ MIA,Aaron Jones,7500,,,,,,,,,,GB,0,0,0,78,0,4,30,0,18.7,401.06951871657753
7,NYG @ MIN,Dalvin Cook,7200,,,,,,,,,,Min,0,0,0,103,1,2,20,0,19.6,367.3469387755102
8,CIN @ NE,Rhamondre Stevenson,7100,,,,,,,,,,NE,0,0,0,43,0,5,38,0,15.8,449.3670886075949
9,LAC @ IND,Jonathan Taylor,7000,,,,,,,,,,,,,,,,,,,,
10,TB @ ARI,James Conner,7000,,,,,,,,,,Ari,0,0,0,84,1,4,28,0,19.4,360.8247422680413
11,PHI @ DAL,Tony Pollard,7000,,,,,,,,,,Dal,0,0,0,65,0,3,22,0,14.9,469.7986577181208
12,CIN @ NE,Joe Mixon,6900,,,,,,,,,,Cin,0,0,0,48,0,4,28,0,15.4,448.05194805194805
13,NO @ CLE,Alvin Kamara,6800,,,,,,,,,,NO,0,0,0,72,0,4,30,0,15.8,430.37974683544303
14,BUF @ CHI,David Montgomery,6500,,,,,,,,,,Chi,0,0,0,62,0,2,17,0,13.1,496.1832061068702
15,SEA @ KC,Kenneth Walker I,6400,,,,,,,,,,Sea,0,0,0,62,1,3,21,0,15.0,426.6666666666667
16,PHI @ DAL,Miles Sanders,6200,,,,,,,,,,Phi,0,0,0,66,1,1,11,0,13.1,473.2824427480916
17,JAC @ NYJ,Travis Etienne Jr.,6100,,,,,,,,,,Jac,0,0,0,76,0,2,15,0,13.9,438.84892086330933
18,LAC @ IND,Deon Jackson,6000,,,,,,,,,,Ind,0,0,0,42,0,1,9,0,7.9,759.493670886076
19,PHI @ DAL,Ezekiel Elliott,6000,,,,,,,,,,Dal,0,0,0,58,1,2,9,0,12.6,476.1904761904762
20,LV @ PIT,Najee Harris,6000,,,,,,,,,,Pit,0,0,0,60,0,2,14,0,13.0,461.53846153846155
21,SEA @ KC,Jerick McKinnon,5900,,,,,,,,,,KC,0,0,0,32,0,4,35,0,13.5,437.037037037037
22,GB @ MIA,Raheem Mostert,5900,,,,,,,,,,Mia,0,0,0,51,0,2,12,0,10.3,572.8155339805825
23,ATL @ BAL,Cordarrelle Patterson,5800,,,,,,,,,,Atl,0,0,0,47,0,2,15,0,10.4,557.6923076923076
24,TB @ ARI,Leonard Fournette,5800,,,,,,,,,,TB,0,0,0,44,0,4,23,0,12.1,479.3388429752066
25,ATL @ BAL,J.K. Dobbins,5800,,,,,,,,,,Bal,0,0,0,65,1,1,6,0,11.4,508.77192982456137
26,GB @ MIA,AJ Dillon,5700,,,,,,,,,,,,,,,,,,,,
27,SEA @ KC,Isiah Pacheco,5700,,,,,,,,,,KC,0,0,0,68,1,1,9,0,12.0,475.0
28,DEN @ LAR,Latavius Murray,5600,,,,,,,,,,Den,0,0,0,64,0,2,15,0,12.3,455.2845528455284
