,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
0,SEA @ KC,Travis Kelce,8000,,,,,,,,,,KC,0,0,0,0,0,6,76,1,17.9,446.927374301676
1,ATL @ BAL,Mark Andrews,5500,,,,,,,,,,Bal,0,0,0,1,0,4,58,0,12.7,433.0708661417323
2,WAS @ SF,George Kittle,5300,,,,,,,,,,SF,0,0,0,0,0,4,47,0,10.5,504.76190476190476
3,NYG @ MIN,T.J. Hockenson,4900,,,,,,,,,,Min,0,0,0,0,0,5,54,0,12.2,401.6393442622951
4,PHI @ DAL,Dallas Goedert,4500,,,,,,,,,,Phi,0,0,0,0,0,4,46,0,10.0,450.0
5,BUF @ CHI,Cole Kmet,4400,,,,,,,,,,Chi,0,0,0,0,0,3,35,0,8.5,517.6470588235294
6,LV @ PIT,Darren Waller,4300,,,,,,,,,,LV,0,0,0,0,0,3,40,0,9.3,462.3655913978494
7,NO @ CLE,David Njoku,4300,,,,,,,,,,Cle,0,0,0,0,0,4,39,0,9.4,457.4468085106383
8,PHI @ DAL,Dalton Schultz,4200,,,,,,,,,,Dal,0,0,0,0,0,4,37,0,9.9,424.24242424242425
9,LAC @ IND,Gerald Everett,4200,,,,,,,,,,LAC,0,0,0,0,0,4,42,0,9.3,451.6129032258064
10,DEN @ LAR,Tyler Higbee,4100,,,,,,,,,,LAR,0,0,0,0,0,4,32,0,7.8,525.6410256410256
11,BUF @ CHI,Dawson Knox,4100,,,,,,,,,,Buf,0,0,0,0,0,3,38,0,8.5,482.3529411764706
12,LV @ PIT,Pat Freiermuth,4000,,,,,,,,,,Pit,0,0,0,0,0,4,45,0,10.0,400.0
13,DEN @ LAR,Greg Dulcich,3900,,,,,,,,,,Den,0,0,0,0,0,3,39,0,8.0,487.5
14,JAC @ NYJ,Evan Engram,3900,,,,,,,,,,Jac,0,0,0,0,0,4,46,0,10.5,371.42857142857144
15,NO @ CLE,Juwan Johnson,3800,,,,,,,,,,NO,0,0,0,0,0,3,31,0,7.7,493.5064935064935
16,GB @ MIA,Robert Tonyan,3700,,,,,,,,,,GB,0,0,0,0,0,3,23,0,6.1,606.5573770491803
17,HOU @ TEN,Chigoziem Okonkwo,3500,,,,,,,,,,Ten,0,0,0,1,0,3,38,0,8.3,421.6867469879518
18,GB @ MIA,Mike Gesicki,3400,,,,,,,,,,Mia,0,0,0,0,0,2,20,0,5.1,666.6666666666667
19,SEA @ KC,Noah Fant,3400,,,,,,,,,,Sea,0,0,0,0,0,3,35,0,8.6,395.34883720930236
20,NYG @ MIN,Daniel Bellinger,3300,,,,,,,,,,NYG,0,0,0,0,0,3,36,0,8.1,407.40740740740745
