,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
0,NYG @ MIN,Justin Jefferson,9300,,,,,,,,,,Min,0,0,0,2,0,7,96,1,20.9,444.97607655502395
1,LV @ PIT,Davante Adams,9000,,,,,,,,,,LV,0,0,0,2,0,6,88,1,18.4,489.13043478260875
2,GB @ MIA,Tyreek Hill,9000,,,,,,,,,,Mia,0,0,0,3,0,8,105,1,22.4,401.78571428571433
3,BUF @ CHI,Stefon Diggs,8500,,,,,,,,,,Buf,0,0,0,0,0,6,84,1,17.7,480.225988700565
4,CIN @ NE,Ja'Marr Chase,8300,,,,,,,,,,Cin,0,0,0,2,0,6,88,1,18.8,441.48936170212767
5,PHI @ DAL,A.J. Brown,8100,,,,,,,,,,Phi,0,0,0,0,0,6,88,0,16.9,479.2899408284024
6,DET @ CAR,Amon-Ra St. Brown,7800,,,,,,,,,,Det,0,0,0,6,0,7,77,0,18.0,433.3333333333333
7,PHI @ DAL,CeeDee Lamb,7500,,,,,,,,,,Dal,0,0,0,4,0,5,64,0,14.1,531.9148936170213
8,TB @ ARI,DeAndre Hopkins,7500,,,,,,,,,,Ari,0,0,0,0,0,7,72,0,15.5,483.8709677419355
9,GB @ MIA,Jaylen Waddle,7200,,,,,,,,,,Mia,0,0,0,0,0,5,66,0,13.9,517.9856115107914
10,SEA @ KC,DK Metcalf,7100,,,,,,,,,,Sea,0,0,0,0,0,6,80,1,18.0,394.44444444444446
11,CIN @ NE,Tee Higgins,7000,,,,,,,,,,Cin,0,0,0,0,0,5,64,0,13.6,514.7058823529412
12,TB @ ARI,Chris Godwin,6900,,,,,,,,,,TB,0,0,0,1,0,6,68,0,15.0,460.0
13,SEA @ KC,Tyler Lockett,6800,,,,,,,,,,,,,,,,,,,,
14,LAC @ IND,Keenan Allen,6700,,,,,,,,,,LAC,0,0,0,0,0,7,74,0,15.9,421.3836477987421
15,PHI @ DAL,DeVonta Smith,6600,,,,,,,,,,Phi,0,0,0,0,0,6,71,0,14.1,468.0851063829787
16,JAC @ NYJ,Christian Kirk,6400,,,,,,,,,,Jac,0,0,0,1,0,5,59,0,13.3,481.203007518797
17,WAS @ SF,Brandon Aiyuk,6300,,,,,,,,,,SF,0,0,0,0,0,4,52,0,11.5,547.8260869565217
18,LAC @ IND,Mike Williams,6300,,,,,,,,,,LAC,0,0,0,0,0,5,67,0,13.5,466.6666666666667
19,TB @ ARI,Mike Evans,6200,,,,,,,,,,TB,0,0,0,0,0,4,62,0,13.0,476.9230769230769
20,WAS @ SF,Terry McLaurin,6200,,,,,,,,,,Was,0,0,0,3,0,5,71,0,14.1,439.7163120567376
21,NO @ CLE,Chris Olave,6100,,,,,,,,,,NO,0,0,0,0,0,4,55,0,11.0,554.5454545454545
22,GB @ MIA,Christian Watson,6000,,,,,,,,,,GB,0,0,0,3,0,4,56,0,12.9,465.1162790697674
23,JAC @ NYJ,Garrett Wilson,6000,,,,,,,,,,NYJ,0,0,0,3,0,4,63,0,13.2,454.54545454545456
24,WAS @ SF,Deebo Samuel,6000,,,,,,,,,,,,,,,,,,,,
25,NO @ CLE,Amari Cooper,5900,,,,,,,,,,Cle,0,0,0,0,0,5,58,0,12.3,479.67479674796743
26,LAC @ IND,Michael Pittman Jr.,5900,,,,,,,,,,Ind,0,0,0,0,0,6,66,0,13.5,437.037037037037
27,DEN @ LAR,Jerry Jeudy,5900,,,,,,,,,,Den,0,0,0,0,0,4,68,0,12.7,464.5669291338583
28,SEA @ KC,JuJu Smith-Schuster,5800,,,,,,,,,,KC,0,0,0,0,0,5,61,0,14.1,411.34751773049646
29,GB @ MIA,Allen Lazard,5500,,,,,,,,,,GB,0,0,0,0,0,3,46,0,10.3,533.9805825242718
30,DET @ CAR,DJ Moore,5500,,,,,,,,,,Car,0,0,0,5,0,4,58,0,12.0,458.3333333333333
31,TB @ ARI,Marquise Brown,5400,,,,,,,,,,Ari,0,0,0,0,0,5,60,0,12.5,432.0
32,NYG @ MIN,Adam Thielen,5300,,,,,,,,,,Min,0,0,0,0,0,4,46,0,10.9,486.23853211009174
33,LV @ PIT,Diontae Johnson,5300,,,,,,,,,,Pit,0,0,0,3,0,5,62,0,13.1,404.58015267175574
34,LAC @ IND,Joshua Palmer,5200,,,,,,,,,,,,,,,,,,,,
35,NYG @ MIN,Darius Slayton,5200,,,,,,,,,,NYG,0,0,0,0,0,4,64,0,11.9,436.97478991596637
36,NO @ CLE,Donovan Peoples-Jones,5100,,,,,,,,,,,,,,,,,,,,
37,JAC @ NYJ,Zay Jones,5100,,,,,,,,,,Jac,0,0,0,0,0,5,54,0,12.8,398.4375
